token_id	token	lemma	upos	xpos	feats	head_token_id	dep_rel
1	!	!	PUNCT	.	NA	0	root
1	03alpe01	03alpe01	X	LS	NA	0	root
1	It	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	4	nsubj
2	's	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	4	cop
3	a	a	DET	DT	Definite=Ind|PronType=Art	4	det
4	rip	rip	NOUN	NN	Number=Sing	0	root
5	off	off	ADP	RP	NA	4	compound:prt
6	.	.	PUNCT	.	NA	4	punct
1	05:36	05:36	NUM	CD	NumType=Card	0	root
2	,	,	PUNCT	,	NA	1	punct
3	UK	UK	PROPN	NNP	Number=Sing	7	compound
4	,	,	PUNCT	,	NA	3	punct
5	Wednesday	Wednesday	PROPN	NNP	Number=Sing	7	compound
6	17	17	NUM	CD	NumType=Card	7	nummod
7	April	April	PROPN	NNP	Number=Sing	1	appos
8	2013	2013	NUM	CD	NumType=Card	10	nummod
9	US	US	PROPN	NNP	Number=Sing	10	compound
10	authorities	authority	NOUN	NNS	Number=Plur	12	nsubj
11	have	have	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin	12	aux
12	released	release	VERB	VBN	Tense=Past|VerbForm=Part	7	acl:relcl
13	the	the	DET	DT	Definite=Def|PronType=Art	15	det
14	first	first	ADJ	JJ	Degree=Pos|NumType=Ord	15	amod
15	pictures	picture	NOUN	NNS	Number=Plur	12	obj
16	of	of	ADP	IN	NA	19	case
17	the	the	DET	DT	Definite=Def|PronType=Art	19	det
18	explosive	explosive	ADJ	JJ	Degree=Pos	19	amod
19	devices	device	NOUN	NNS	Number=Plur	15	nmod
20	used	use	VERB	VBN	Tense=Past|VerbForm=Part	19	acl
21	in	in	ADP	IN	NA	24	case
22	the	the	DET	DT	Definite=Def|PronType=Art	24	det
23	twin	twin	NOUN	NN	Number=Sing	24	compound
24	blasts	blast	NOUN	NNS	Number=Plur	20	obl
25	which	which	PRON	WDT	PronType=Rel	26	nsubj
26	hit	hit	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin	24	acl:relcl
27	the	the	DET	DT	Definite=Def|PronType=Art	29	det
28	Boston	Boston	PROPN	NNP	Number=Sing	29	compound
29	Marathon	Marathon	PROPN	NNP	Number=Sing	26	obj
30	on	on	ADP	IN	NA	31	case
31	Monday	Monday	PROPN	NNP	Number=Sing	26	obl
32	.	.	PUNCT	.	NA	1	punct
1	$	$	SYM	$	NA	0	root
2	0.99	0.99	NUM	CD	NumType=Card	1	nummod
3	for	for	ADP	IN	NA	6	case
4	first	first	ADV	RB	NA	5	advmod
5	4	4	NUM	CD	NumType=Card	6	nummod
6	weeks	week	NOUN	NNS	Number=Plur	1	nmod
7	Subscribe	subscribe	PROPN	NNP	Number=Sing	10	compound
8	Now	Now	PROPN	NNP	Number=Sing	10	compound
9	Labor	Labor	PROPN	NNP	Number=Sing	10	compound
10	constraints	constraint	NOUN	NNS	Number=Plur	1	appos
11	and	and	CCONJ	CC	NA	14	cc
12	rising	rise	VERB	VBG	VerbForm=Ger	14	amod
13	construction	construction	NOUN	NN	Number=Sing	14	compound
14	costs	cost	NOUN	NNS	Number=Plur	10	conj
15	held	hold	VERB	VBN	Tense=Past|VerbForm=Part	14	acl
16	back	back	ADP	RP	NA	19	case
17	North	North	PROPN	NNP	Number=Sing	18	compound
18	Texas	Texas	PROPN	NNP	Number=Sing	19	compound
19	homebuilders	homebuilder	NOUN	NNS	Number=Plur	15	obl
20	in	in	ADP	IN	NA	24	case
21	the	the	DET	DT	Definite=Def|PronType=Art	24	det
22	most	most	ADV	RBS	NA	23	advmod
23	recent	recent	ADJ	JJ	Degree=Pos	24	amod
24	quarter	quarter	NOUN	NN	Number=Sing	19	nmod
25	.	.	PUNCT	.	NA	1	punct
1	$	$	SYM	$	NA	9	nsubj:pass
2	0.99	0.99	NUM	CD	NumType=Card	1	nummod
3	for	for	ADP	IN	NA	6	case
4	first	first	ADV	RB	NA	5	advmod
5	4	4	NUM	CD	NumType=Card	6	nummod
6	weeks	week	NOUN	NNS	Number=Plur	1	nmod
7	Subscribe	subscribe	AUX	VB	Mood=Imp|VerbForm=Fin	9	aux:pass
8	Now	now	ADV	RB	NA	9	advmod
9	Updated	update	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	0	root
10	at	at	ADP	IN	NA	12	case
11	10	10	NUM	CD	NumType=Card	12	nummod
12	p.m.	p.m.	NOUN	NN	Number=Sing	9	obl
13	:	:	PUNCT	:	NA	9	punct
1	Revised	revise	VERB	VBN	Tense=Past|VerbForm=Part	0	root
2	to	to	PART	TO	NA	3	mark
3	include	include	VERB	VB	VerbForm=Inf	1	xcomp
4	the	the	DET	DT	Definite=Def|PronType=Art	5	det
5	boy	boy	NOUN	NN	Number=Sing	7	nmod:poss
6	's	's	PART	POS	NA	5	case
7	name	name	NOUN	NN	Number=Sing	3	obj
8	.	.	PUNCT	.	NA	1	punct
